Review
"download cuma mau ngasih bintang satu, tolong kalo keluarin iklan tuh jangan panjang durasinya, biasanya iklan lain cuma 30 detik, ini malah Sampek 5 menit, tolong di pendekin jadi 30 detik, saya main game jadi terganggu, saya tidak mempermasalahkan iklan apk ini, saya cuma kesal durasi iklannya terlalu panjang"
"maaf kasik bintang 1 karena terkait masalah jaringan setelah update aplikasinya karena setiap kali nonton beberapa episode nya mesti lag dan loading terus sampe lama udah di refresing tetep gak jalan, TOLONG PERBAIKI APLIKASINYA setelah update malah jadi kurang puas..... padahal aplikasinya udah bagus🙏"
"ga ada masalah apa apa sih,cuman ga suka aja sama iklan gopay nya,sering banget muncul,bahkan kalo muncul langsung otomatis ke aplikasi nya,jadi kalo bisa kurangi iklan gopay nya, aku ga masalah sama iklan yang lain,malah menurut ku iklan yang lain itu lebih bagus gopay,jadi kurng kurangi ya iklan gopay nya"
"download aplikasi ini cuma mau ngasih bintang 1 aja, ni aplikasi kalau buat iklan gak pake otak, lama banget iklannya mana gak bisa di skip. tolong kalau buat iklan maksimal 30 Detik lah.. dah habis ini gw hapus lagi ni aplikasi."
awalnya bagus tapi lama2 kok gak bisa d putar internet terputus terus padahal jaringan wifi saya bagus2 aja. kalau buka pengaturan aja bisanya kalau mau liat vidio jagankan nonton liat gambar dan judul saja tidak bisa. ini sdh beberapa hari terjadi mohon penjelasannya ini kenapa?
"sbnerya udh bagus👍,cuma kok dikit"" bayar, iklan, sbnerya gpp si...,cuma jangan sering"" lah,muncul iklannya,sedikit/sebentar gitu,soalnya sekali iklan durasinya 60detik,itu sih aku maklumin soalnya mau buka kunci tapi masalahnya setelah iklan yang durasinya banyak itu malah muncul lagi iklannya tapi gak terlalu lama juga sih durasinya kadang 30,15,10,5detik jadi intinya aku pengen banget iklannya jangan terlalu banyak,padahal dulu udah loh gratis semua,sekarang malah...😧 maaf udh byk maunya🙂"
"sesuai janji saya, kalau aplikasinya di perbaiki saya bakal ubah bintangnya, saya suka sama aplikasi melolo beda sama aplikasi yg lain, di melolo tidak terlalu banyak iklan, beda sama aplikasi yg lain, setiap mau lanjut eps iklan, jadinya keburu naik darah, tapi melolo ini beda banget, dia siap menerima kritikan dan cepat menangapi keluhan ,pertahankan ya melolo, jangan ada di ubah ubah lagi, menurutku sekarang udah sempurna banget aplikasinya👍"
"cmn mnonton udh dpt koin. cmn kecewa sama iklannya. pdhal awal download klo mau nnton ngga mncul iklan. eh baru brapa hari, tiap mau nnton iklan mncul trus. baru 1 eps mncul lagi mncul lagi. padahal sy dru fizzo pindah ksni krna krngnya iklan. TPI skrng iklannya makin sering mncul😢 coba iklannya 1x aja mncul, atau minimal nnti 5 atau 10 eps baru mncul lgi iklannya pasti bagus🙏"
"overall udh okay gak perlu langganan, iklan tidak ada mungkin ada beberapa iklan, namun tidak terlalu mengganggu, subtitle dan dubbing bagus mungkin ada beberapa tokoh yang diganti menjadi kurang mendalami tokoh dan ada beberapa voice Indonesia yang kurang menarik lebih baik voice negara tersebut.."
"aplikasi ini bagus. Tp tolong di perbnyk lg untuk dubbing bhs Indonesia-nya. krn gk semua orang suka menghabiskan waktu fokus ke layar hp untuk membaca, ada juga yg ingin menghilangkan jenuh saat bekerja sambil menonton film. sekedar saran saja, boleh di ambil atau tidak. saya lihat, di aplikasi ini tidak semua drama menggunakan dubbing bahasa Indonesia, ada juga yang kebanyakan translate menggunakan teks. saran saya, untuk mempermudah penonton, kalau bisa, berikan tanda pada thumbnail drama tsb"
katanya ngk ada iklan padahal nyatanya banyak banget iklan nya. jadi risih mau nonton tapi iklan mulu. nih pihak aplikasi klu ada iklan jangan bohongin pengguna dengan embel embel ngk ada iklan. biar ngk banyak berharap.
tolong perbaikan nya hari ini saya lagi full happy tapi malah selalu ada iklan di setiap pergantian episode nya padalah ga ada kekunci dan rating nya bintang 5 semua dari saya punya hp pertama sampai saya ganti hp baru pun baru ini yang mengesalkan! selalu harus ada iklan di pergantian episode nya tolong dong min! aku kasi bintang 3 nanti kalo sudah membaik aku akan kasih bintang 5!
"aplikasinya sangat bagus menonton lancar dan banyak pilihan mungkin sedikit saja ada suara terjemahan bahasa Indonesia setelah lama menonton itu hilang tapi tidak apa yang penting lancar untuk menonton dan untuk penarikan sangat cepat langsung masuk namun yang membuat aneh bernama penarikan fizzo berhasil masuk, untuk penarikan bagaimana penjelasannya karna saya kebingungan untuk awal langsung masuk 300Rp untuk kedua kali saya coba tidak bisa, sekian dari saya terimakasih"
"menurut saya melolo bagus,dramanya jg bagus,ga ada hambatan,iklan sih wajar,cuma yg jadi kendala bila saya selesai menonton,esok harinya atau setelah keluar dari aplikasi melolo,pas mau buka melolo LG tidak bisa,padahal internet bagus,masa harus selalu instal setiap mau nonton."
"aplikasi drama pendek terbaik, nonton nya gak pake energi atau permata apalah, semua nya gratis. dan apa gong nya lagi? IKLAN NYA MINIM BANGET!! hampir gaada malah!! bagus banget, sejauh ini suka banget aplikasi nya"
"aplikasinya bagus... di awal sangat puas untuk nonton tapi setelah 3 hari kira kira setelah nonton 2 drakor mulai agak lelet,dan sudah mulai ada iklan tapi iklannya pendek 10 detik aja... semoga kedepannya untuk durasi iklannya gak di tambah iya, dan gak lelet. untuk iklannya dengan durasi 10 detik sudah membuat nyaman iya tapi jangan sering muncul iklan kedepannya."
"aplikasi mudah digunakan tampilannya pun bagus, isi ceritanya juga menarik. Terimakasih udah buat aplikasi ini secara gratis semoga bisa terus berkembang, klo bisa misalnya nnti apknya udh bnyk yg download trs ada keinginan buat bikin VIP atau berlangganan, jangan mahal mahal plis sebulan 20k gtu, makasih."
